PubCHEM,isosmiles
1800,C1=CC2=C(C=C1C(=[NH2+])N)NC=N2
1826,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O
1832,CN(C)CCC1=CNC2=C1C=C(C=C2)OC
1833,COC1=CC2=C(C=C1)NC=C2CCN
1845,C1=C2C(=CC(=C1Cl)Cl)NC(=O)C(=O)N2
1923,C1=CC2=C(C(=C1)O)N=CC=C2
1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
1959,CC1CCC2(C(CC(C(O2)C(C)C(=O)C3=CC=CN3)C)C)OC1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC
1972,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
1979,CC(=O)OC1CN2CCC1CC2
1981,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O
1983,CC(=O)NC1=CC=C(C=C1)O
1985,CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O
1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
1990,CC(=O)NO
1993,CC(C[N+](C)(C)C)OC(=O)C
1995,CC(C)CC(C(=O)O)NC(=O)C
2012,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC
2019,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
2031,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2
2071,C1CC(C2=C1C=C(C=C2)C(=O)O)(C(=O)O)N
2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
2087,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl
2088,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
2091,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
2099,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
2100,CCC(C)C1C(=O)NCC(=O)NC2CS(=O)C3=C(CC(C(=O)NCC(=O)N1)NC(=O)C(NC(=O)C4CC(CN4C(=O)C(NC2=O)CC(=O)N)O)C(C)C(CO)O)C5=C(N3)C=C(C=C5)O
2102,C1=CC(=CC=C1C=C(C#N)C(=O)O)O
2116,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
2117,CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C
